item_idx,Module,oBDS_Concept,n_coders,n_unique_codes,disagreement,semantic_disagreement,diversity,mdi,mean_distance,max_distance,interpretation,codes,most_common_code,most_common_count
520,Modul 21,Item_520,4,4.0,0.75,0.17666666666666667,1.0,0.5456666666666666,8.833333333333334,12.0,"Difficult (divergent codes, semantic distance)","['900000000000519001', '703852005', '900000000000465000', '371541002']",900000000000519001,1.0
188,Modul 14,Item_188,4,4.0,0.75,0.16666666666666669,1.0,0.5416666666666666,8.333333333333334,12.0,"Difficult (divergent codes, semantic distance)","['262202000', '363703001', '363675004', '367565008']",262202000,1.0
523,Modul 23,Item_523,4,4.0,0.75,0.14,1.0,0.531,7.0,10.0,"Difficult (divergent codes, semantic distance)","['55446002', '64195000', '900000000000465000', '734841007']",55446002,1.0
82,Modul 11,Item_82,4,4.0,0.75,0.13333333333333333,1.0,0.5283333333333333,6.666666666666667,8.0,"Difficult (divergent codes, semantic distance)","['134315000', '23451007', '94161006', '258339009']",134315000,1.0
57,Modul 10,Item_57,4,4.0,0.75,0.13,1.0,0.527,6.5,9.0,"Difficult (divergent codes, semantic distance)","['262061000', '445200009', '1295388007', '129265001']",262061000,1.0
27,Modul 6,Item_27,4,4.0,0.75,0.12,1.0,0.523,6.0,8.0,"Difficult (divergent codes, semantic distance)","['714797009', '396984004', '726739006', '309162003']",714797009,1.0
430,Modul 16,Item_430,4,4.0,0.75,0.11666666666666665,1.0,0.5216666666666666,5.833333333333333,8.0,"Difficult (divergent codes, semantic distance)","['410942007', '105590001', '900000000000465000', '261217004']",410942007,1.0
33,Modul 6,Item_33,4,4.0,0.75,0.09666666666666666,1.0,0.5136666666666667,4.833333333333333,7.0,"Difficult (divergent codes, semantic distance)","['373372005', '371469007', '370114008', '258349007']",373372005,1.0
402,Modul 16,Item_402,3,3.0,0.6666666666666667,0.18666666666666668,1.0,0.508,9.333333333333334,12.0,"Difficult (divergent codes, semantic distance)","['262202000', '363703001', '367565008']",262202000,1.0
87,Modul 12,Item_87,4,4.0,0.75,0.08,1.0,0.507,4.0,7.0,"Difficult (divergent codes, semantic distance)","['103319000', '423740007', '424122007', '423690003']",103319000,1.0
530,Modul 23,Item_530,4,4.0,0.75,0.07666666666666667,1.0,0.5056666666666667,3.8333333333333335,7.0,"Difficult (divergent codes, semantic distance)","['260385009', '412730000', '8116006', '55446002']",260385009,1.0
431,Modul 16,Item_431,3,3.0,0.6666666666666667,0.1733333333333333,1.0,0.5026666666666667,8.666666666666666,9.0,"Difficult (divergent codes, semantic distance)","['394908001', '410666004', '127489000']",394908001,1.0
