module,n_concepts,alpha_nominal,alpha_semantic
Modul 5,27,0.6133455210237659,
Modul 6,25,0.513737173121483,
Modul 9,4,0.8035714285714286,
Modul 10,16,0.046666666666666634,
Modul 11,15,0.3546344271732873,
Modul 12,8,0.4042056074766355,
Modul 13,92,0.7792860159663225,
Modul 14,201,0.6857768540417433,
Modul 15,13,0.8163265306122449,
Modul 16,41,0.5972197522081926,
Modul 17,40,0.501909237773535,
Modul 18,8,0.8648648648648649,
Modul 19,22,0.9304535637149028,
Modul 20,8,0.9094202898550725,
Modul 21,1,0.0,
Modul 22,1,,
Modul 23,13,0.5379876796714578,
Modul 24,6,0.5882352941176472,
Modul 25,8,0.4299719887955181,
