item_idx,Module,oBDS_Concept,n_coders,n_unique_codes,disagreement,semantic_disagreement,diversity,mdi,mean_distance,max_distance,interpretation,codes,most_common_code,most_common_count
0,Modul 5,Item_0,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['439401001', '439401001', '439401001', '439401001']",439401001,4.0
1,Modul 5,Item_1,3,2.0,0.33333333333333337,0.026666666666666665,0.5,0.22733333333333333,1.3333333333333333,2.0,"Moderate (some disagreement, related concepts)","['372087000', '363346000', '363346000']",363346000,2.0
2,Modul 5,Item_2,0,,,,,,,,No codes,[],,
3,Modul 5,Item_3,2,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['900000000000465000', '900000000000465000']",900000000000465000,2.0
4,Modul 5,Item_4,3,2.0,0.33333333333333337,0.04,0.5,0.2326666666666667,2.0,2.0,"Moderate (some disagreement, related concepts)","['371480007', '399687005', '399687005']",399687005,2.0
5,Modul 5,Item_5,0,,,,,,,,No codes,[],,
6,Modul 5,Item_6,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['432213005', '432213005', '432213005', '432213005']",432213005,4.0
7,Modul 5,Item_7,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['373793006', '373793006', '373793006']",373793006,3.0
8,Modul 5,Item_8,4,2.0,0.5,0.13333333333333333,0.3333333333333333,0.33666666666666667,6.666666666666667,9.0,"Difficult (divergent codes, semantic distance)","['58147004', '373795004', '373795004', '58147004']",58147004,2.0
9,Modul 5,Item_9,4,3.0,0.5,0.12333333333333334,0.6666666666666666,0.366,6.166666666666667,8.0,"Difficult (divergent codes, semantic distance)","['165197003', '373796003', '373796003', '39154008']",373796003,2.0
10,Modul 5,Item_10,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['363680008', '363680008', '363680008', '363680008']",363680008,4.0
11,Modul 5,Item_11,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['423827005', '423827005', '423827005', '423827005']",423827005,4.0
12,Modul 5,Item_12,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['363679005', '363679005', '363679005', '363679005']",363679005,4.0
13,Modul 5,Item_13,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['16310003', '16310003', '16310003', '16310003']",16310003,4.0
14,Modul 5,Item_14,4,2.0,0.25,0.03,0.3333333333333333,0.17033333333333334,1.5,2.0,"Moderate (some disagreement, related concepts)","['76145000', '122458006', '122458006', '122458006']",122458006,3.0
15,Modul 5,Item_15,4,2.0,0.25,0.09,0.3333333333333333,0.19433333333333333,4.5,7.0,"Moderate (some disagreement, related concepts)","['259672007', '373797007', '373797007', '373797007']",373797007,3.0
16,Modul 5,Item_16,4,2.0,0.5,0.12,0.3333333333333333,0.3313333333333333,6.0,8.0,"Difficult (divergent codes, semantic distance)","['702666009', '373798002', '373798002', '702666009']",702666009,2.0
17,Modul 5,Item_17,4,3.0,0.5,0.12,0.6666666666666666,0.36466666666666664,6.0,8.0,"Difficult (divergent codes, semantic distance)","['714797009', '373799005', '373799005', '396785008']",373799005,2.0
