Module,N,Mapper_A_missing,Mapper_A_pct,Mapper_B_missing,Mapper_B_pct,Mapper_C_missing,Mapper_C_pct,Mapper_D_missing,Mapper_D_pct,any_missing,any_missing_pct
Modul 5,27,3,11.11111111111111,3,11.11111111111111,2,7.4074074074074066,5,18.51851851851852,6,22.22222222222222
Modul 6,25,4,16.0,5,20.0,4,16.0,6,24.0,9,36.0
Modul 9,4,0,0.0,0,0.0,0,0.0,4,100.0,4,100.0
Modul 10,16,13,81.25,13,81.25,13,81.25,0,0.0,13,81.25
Modul 11,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Modul 12,8,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5
Modul 13,92,11,11.956521739130435,11,11.956521739130435,22,23.91304347826087,7,7.608695652173914,26,28.26086956521739
Modul 14,201,21,10.44776119402985,21,10.44776119402985,50,24.875621890547265,58,28.855721393034827,71,35.32338308457712
Modul 15,13,2,15.384615384615385,6,46.15384615384615,6,46.15384615384615,6,46.15384615384615,6,46.15384615384615
Modul 16,41,5,12.195121951219512,10,24.390243902439025,25,60.97560975609756,9,21.951219512195124,26,63.41463414634146
Modul 17,40,3,7.5,8,20.0,24,60.0,3,7.5,27,67.5
Modul 18,8,1,12.5,1,12.5,7,87.5,7,87.5,8,100.0
Modul 19,22,0,0.0,2,9.090909090909092,8,36.36363636363637,7,31.818181818181817,9,40.909090909090914
Modul 20,8,0,0.0,0,0.0,5,62.5,1,12.5,5,62.5
Modul 21,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Modul 22,1,0,0.0,0,0.0,0,0.0,1,100.0,1,100.0
Modul 23,13,3,23.076923076923077,2,15.384615384615385,1,7.6923076923076925,0,0.0,5,38.46153846153847
Modul 24,6,2,33.33333333333333,2,33.33333333333333,0,0.0,1,16.666666666666664,3,50.0
Modul 25,8,1,12.5,1,12.5,3,37.5,3,37.5,5,62.5
