Module,mdi_mean,mdi_median,mdi_std,mdi_count,n_coders_mean,semantic_disagreement_mean
Modul 21,0.546,0.546,,1,4.0,0.177
Modul 10,0.354,0.326,0.16,3,4.0,0.122
Modul 11,0.278,0.354,0.156,15,4.0,0.087
Modul 25,0.257,0.27,0.183,7,3.286,0.094
Modul 12,0.244,0.19,0.166,8,3.875,0.079
Modul 24,0.236,0.219,0.242,6,3.167,0.117
Modul 23,0.22,0.174,0.222,13,3.538,0.072
Modul 6,0.216,0.198,0.183,21,3.762,0.078
Modul 17,0.2,0.249,0.134,37,3.243,0.087
Modul 16,0.199,0.094,0.202,34,3.176,0.075
Modul 5,0.166,0.17,0.156,25,3.8,0.065
Modul 14,0.13,0.016,0.136,179,3.631,0.054
Modul 13,0.1,0.016,0.123,83,3.759,0.046
Modul 15,0.086,0.016,0.125,7,4.0,0.057
Modul 9,0.08,0.016,0.127,4,3.0,0.063
Modul 18,0.047,0.016,0.082,7,2.286,0.04
Modul 19,0.039,0.016,0.074,21,3.333,0.039
Modul 20,0.039,0.016,0.064,8,3.25,0.048
Modul 22,0.016,0.016,,1,3.0,0.04
