module,n_concepts,alpha_semantic_isa,coverage_pct
Modul 10,16,0.08033291753877847,100.0
Modul 11,15,0.26739591548006925,100.0
Modul 12,8,0.2949834188695445,100.0
Modul 13,92,0.8778799660115447,100.0
Modul 14,201,0.8591665939117391,100.0
Modul 15,13,0.6457638005516443,100.0
Modul 16,41,0.6935235166128737,100.0
Modul 17,40,0.4553904975218942,100.0
Modul 18,8,0.9920042643923241,100.0
Modul 19,22,0.9905491478887467,100.0
Modul 20,8,0.8320323014804846,100.0
Modul 21,1,-0.020408163265306145,100.0
Modul 22,1,,100.0
Modul 23,13,0.6723134568089715,100.0
Modul 24,6,0.4723265426011791,100.0
Modul 25,8,0.4075722111366895,100.0
Modul 5,27,0.6624992032566974,100.0
Modul 6,25,0.4428193519758309,100.0
Modul 9,4,0.6342245989304813,100.0
